OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-27-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40247,2.204062,B:SM 4 - Bilbao-Llull,Carrer de Bilbao, 24,Barcelona,0193,Barcelona,08,4,cotxe,,93.309.77.55,99400236540,BSM011
08-0193-27-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40247,2.204062,B:SM 4 - Bilbao-Llull,Carrer de Bilbao, 24,Barcelona,0193,Barcelona,08,4,moto,,93.309.77.55,99400236540,BSM011
08-0193-28-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4067,2.2184,B:SM 13 - García Fària,Passeig de Garcia Fària, 71,Barcelona,0193,Barcelona,08,2.cotxe,,93.356.09.17,99400157871,BSM012
08-0193-28-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4067,2.2184,B:SM 13 - García Fària,Passeig de Garcia Fària, 71,Barcelona,0193,Barcelona,08,2.cotxe,,93.356.09.17,99400157871,BSM012
08-0193-29-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
08-0193-29-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
08-0193-29-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
08-0193-29-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
08-0193-29-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
08-0193-29-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.386972,2.197056,B:SM 19 - Marina Port,Carrer de la Marina, 13-17,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.00.14,99159121430,BSM013
